LHS	RHS	supp	conf
01-H. owned	02-Det. house	46,13848	85,03067
01-H. owned	03-Vechicl.=2	39,54727	72,88344
01-H. owned	10-Husb.work.class=PrivateWorker	41,21172	75,95092
01-H. owned	11-Wife.work.class=PrivateWorker	39,28096	72,39264
02-Det. house	01-H. owned	46,13848	81,24267
02-Det. house	03-Vechicl.=2	41,07856	72,33294
02-Det. house	10-Husb.work.class=PrivateWorker	43,40879	76,43611
02-Det. house	11-Wife.work.class=PrivateWorker	41,34487	72,80188
03-Vechicl.=2	10-Husb.work.class=PrivateWorker	50,93209	76,65331
03-Vechicl.=2	11-Wife.work.class=PrivateWorker	49,13449	73,94790
06-Husb.:no college	10-Husb.work.class=PrivateWorker	15,51265	75,64935
06-Husb.:no college	11-Wife.work.class=PrivateWorker	14,78029	72,07792
07-Wife:associate	03-Vechicl.=2	27,76298	70,79796
07-Wife:associate	10-Husb.work.class=PrivateWorker	30,29294	77,24958
07-Wife:associate	11-Wife.work.class=PrivateWorker	28,29561	72,15620
12-Husb.Income=05	03-Vechicl.=2	20,37284	71,83099
12-Husb.Income=05	10-Husb.work.class=PrivateWorker	21,23835	74,88263
12-Husb.Income=05	11-Wife.work.class=PrivateWorker	20,43941	72,06573
YES	10-Husb.work.class=PrivateWorker	29,22770	75,68966
01-H. not owned	10-Husb.work.class=PrivateWorker	36,88415	80,64047
01-H. not owned	11-Wife.work.class=PrivateWorker	33,68842	73,65357
01-H. not owned	NO	32,35686	70,74236
06-Husb.:associate	03-Vechicl.=2	27,29694	71,80385
06-Husb.:associate	10-Husb.work.class=PrivateWorker	30,15979	79,33450
06-Husb.:associate	11-Wife.work.class=PrivateWorker	28,36218	74,60595
08-Husb.:West Europe	03-Vechicl.=2	32,15712	71,02941
08-Husb.:West Europe	09-Wife:West Europe	31,75766	70,14706
08-Husb.:West Europe	10-Husb.work.class=PrivateWorker	33,42210	73,82353
08-Husb.:West Europe	11-Wife.work.class=PrivateWorker	33,82157	74,70588
09-Wife:West Europe	03-Vechicl.=2	29,69374	71,36000
09-Wife:West Europe	08-Husb.:West Europe	31,75766	76,32000
09-Wife:West Europe	10-Husb.work.class=PrivateWorker	30,75899	73,92000
09-Wife:West Europe	11-Wife.work.class=PrivateWorker	30,29294	72,80000
10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	60,58589	77,57886
11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	60,58589	83,02920
07-Wife:no college	10-Husb.work.class=PrivateWorker	14,58056	80,51471
07-Wife:no college	11-Wife.work.class=PrivateWorker	14,31425	79,04412
12-Husb.Income=04	10-Husb.work.class=PrivateWorker	20,17310	76,70886
12-Husb.Income=04	11-Wife.work.class=PrivateWorker	18,90812	71,89873
03-Vechicl.=1	01-H. not owned	13,64847	77,35849
03-Vechicl.=1	10-Husb.work.class=PrivateWorker	14,91345	84,52830
02-Apart.	01-H. not owned	30,62583	91,08911
02-Apart.	10-Husb.work.class=PrivateWorker	27,89614	82,97030
02-Apart.	11-Wife.work.class=PrivateWorker	24,76698	73,66337
02-Apart.	NO	24,70040	73,46535
08-Husb.:other Asia	10-Husb.work.class=PrivateWorker	16,57790	83,27759
08-Husb.:other Asia	11-Wife.work.class=PrivateWorker	14,64714	73,57860
08-Husb.:other Asia	09-Wife:other Asia	17,31025	86,95652
09-Wife:other Asia	10-Husb.work.class=PrivateWorker	17,31025	82,27848
09-Wife:other Asia	11-Wife.work.class=PrivateWorker	15,57923	74,05063
09-Wife:other Asia	08-Husb.:other Asia	17,31025	82,27848
NO	10-Husb.work.class=PrivateWorker	48,86818	79,60954
NO	11-Wife.work.class=PrivateWorker	46,67111	76,03037
01-H. owned, 02-Det. house	03-Vechicl.=2	33,55526	72,72727
01-H. owned, 02-Det. house	10-Husb.work.class=PrivateWorker	35,21971	76,33478
01-H. owned, 02-Det. house	11-Wife.work.class=PrivateWorker	33,62184	72,87157
01-H. owned, 03-Vechicl.=2	02-Det. house	33,55526	84,84848
01-H. owned, 03-Vechicl.=2	10-Husb.work.class=PrivateWorker	29,89348	75,58923
01-H. owned, 03-Vechicl.=2	11-Wife.work.class=PrivateWorker	28,56192	72,22222
01-H. owned, 07-Wife:associate	02-Det. house	20,57257	86,55462
01-H. owned, 07-Wife:associate	03-Vechicl.=2	17,77630	74,78992
01-H. owned, 07-Wife:associate	10-Husb.work.class=PrivateWorker	17,90945	75,35014
01-H. owned, 07-Wife:associate	11-Wife.work.class=PrivateWorker	16,64447	70,02801
01-H. owned, 12-Husb.Income=05	02-Det. house	15,64581	87,03704
01-H. owned, 12-Husb.Income=05	03-Vechicl.=2	13,44874	74,81481
01-H. owned, YES	02-Det. house	21,97071	87,07124
01-H. owned, YES	03-Vechicl.=2	19,04128	75,46174
01-H. owned, YES	10-Husb.work.class=PrivateWorker	18,50866	73,35092
01-H. owned, YES	11-Wife.work.class=PrivateWorker	17,70972	70,18470
01-H. owned, 06-Husb.:associate	02-Det. house	19,57390	84,00000
01-H. owned, 06-Husb.:associate	03-Vechicl.=2	17,84288	76,57143
01-H. owned, 06-Husb.:associate	10-Husb.work.class=PrivateWorker	17,84288	76,57143
01-H. owned, 06-Husb.:associate	11-Wife.work.class=PrivateWorker	17,11052	73,42857
01-H. owned, 08-Husb.:West Europe	02-Det. house	23,90146	88,64198
01-H. owned, 08-Husb.:West Europe	03-Vechicl.=2	19,37417	71,85185
01-H. owned, 08-Husb.:West Europe	09-Wife:West Europe	19,17443	71,11111
01-H. owned, 08-Husb.:West Europe	10-Husb.work.class=PrivateWorker	19,57390	72,59259
01-H. owned, 08-Husb.:West Europe	11-Wife.work.class=PrivateWorker	19,77364	73,33333
01-H. owned, 09-Wife:West Europe	02-Det. house	21,83755	87,46667
01-H. owned, 09-Wife:West Europe	03-Vechicl.=2	18,24234	73,06667
01-H. owned, 09-Wife:West Europe	08-Husb.:West Europe	19,17443	76,80000
01-H. owned, 09-Wife:West Europe	10-Husb.work.class=PrivateWorker	18,57523	74,40000
01-H. owned, 09-Wife:West Europe	11-Wife.work.class=PrivateWorker	17,77630	71,20000
01-H. owned, 10-Husb.work.class=PrivateWorker	02-Det. house	35,21971	85,46042
01-H. owned, 10-Husb.work.class=PrivateWorker	03-Vechicl.=2	29,89348	72,53635
01-H. owned, 10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	32,22370	78,19063
01-H. owned, 11-Wife.work.class=PrivateWorker	02-Det. house	33,62184	85,59322
01-H. owned, 11-Wife.work.class=PrivateWorker	03-Vechicl.=2	28,56192	72,71186
01-H. owned, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	32,22370	82,03390
01-H. owned, NO	02-Det. house	24,16778	83,25688
01-H. owned, NO	03-Vechicl.=2	20,50599	70,64220
01-H. owned, NO	10-Husb.work.class=PrivateWorker	22,70306	78,21101
01-H. owned, NO	11-Wife.work.class=PrivateWorker	21,57124	74,31193
02-Det. house, 03-Vechicl.=2	01-H. owned	33,55526	81,68558
02-Det. house, 03-Vechicl.=2	10-Husb.work.class=PrivateWorker	31,09188	75,68882
02-Det. house, 03-Vechicl.=2	11-Wife.work.class=PrivateWorker	29,69374	72,28525
02-Det. house, 07-Wife:associate	01-H. owned	20,57257	84,89011
02-Det. house, 07-Wife:associate	03-Vechicl.=2	17,97603	74,17582
02-Det. house, 07-Wife:associate	10-Husb.work.class=PrivateWorker	18,10919	74,72527
02-Det. house, 12-Husb.Income=05	01-H. owned	15,64581	85,14493
02-Det. house, 12-Husb.Income=05	03-Vechicl.=2	13,71505	74,63768
02-Det. house, 12-Husb.Income=05	10-Husb.work.class=PrivateWorker	13,38216	72,82609
02-Det. house, YES	01-H. owned	21,97071	84,39898
02-Det. house, YES	03-Vechicl.=2	19,17443	73,65729
02-Det. house, YES	10-Husb.work.class=PrivateWorker	19,64048	75,44757
02-Det. house, YES	11-Wife.work.class=PrivateWorker	18,30892	70,33248
02-Det. house, 06-Husb.:associate	01-H. owned	19,57390	85,21739
02-Det. house, 06-Husb.:associate	03-Vechicl.=2	17,50999	76,23188
02-Det. house, 06-Husb.:associate	10-Husb.work.class=PrivateWorker	17,90945	77,97101
02-Det. house, 06-Husb.:associate	11-Wife.work.class=PrivateWorker	17,31025	75,36232
02-Det. house, 08-Husb.:West Europe	01-H. owned	23,90146	79,07489
02-Det. house, 08-Husb.:West Europe	03-Vechicl.=2	22,03728	72,90749
02-Det. house, 08-Husb.:West Europe	09-Wife:West Europe	21,37150	70,70485
02-Det. house, 08-Husb.:West Europe	10-Husb.work.class=PrivateWorker	22,03728	72,90749
02-Det. house, 08-Husb.:West Europe	11-Wife.work.class=PrivateWorker	22,43675	74,22907
02-Det. house, 09-Wife:West Europe	01-H. owned	21,83755	79,41889
02-Det. house, 09-Wife:West Europe	03-Vechicl.=2	20,03995	72,88136
02-Det. house, 09-Wife:West Europe	08-Husb.:West Europe	21,37150	77,72397
02-Det. house, 09-Wife:West Europe	10-Husb.work.class=PrivateWorker	20,43941	74,33414
02-Det. house, 09-Wife:West Europe	11-Wife.work.class=PrivateWorker	19,90679	72,39709
02-Det. house, 10-Husb.work.class=PrivateWorker	01-H. owned	35,21971	81,13497
02-Det. house, 10-Husb.work.class=PrivateWorker	03-Vechicl.=2	31,09188	71,62577
02-Det. house, 10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	33,82157	77,91411
02-Det. house, 11-Wife.work.class=PrivateWorker	01-H. owned	33,62184	81,32045
02-Det. house, 11-Wife.work.class=PrivateWorker	03-Vechicl.=2	29,69374	71,81965
02-Det. house, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	33,82157	81,80354
02-Det. house, NO	01-H. owned	24,16778	78,57143
02-Det. house, NO	03-Vechicl.=2	21,90413	71,21212
02-Det. house, NO	10-Husb.work.class=PrivateWorker	23,76831	77,27273
02-Det. house, NO	11-Wife.work.class=PrivateWorker	23,03595	74,89177
03-Vechicl.=2, 07-Wife:associate	10-Husb.work.class=PrivateWorker	21,50466	77,45803
03-Vechicl.=2, 07-Wife:associate	11-Wife.work.class=PrivateWorker	19,77364	71,22302
03-Vechicl.=2, 12-Husb.Income=05	10-Husb.work.class=PrivateWorker	15,37949	75,49020
03-Vechicl.=2, 12-Husb.Income=05	11-Wife.work.class=PrivateWorker	14,91345	73,20261
03-Vechicl.=2, YES	01-H. owned	19,04128	71,14428
03-Vechicl.=2, YES	02-Det. house	19,17443	71,64179
03-Vechicl.=2, YES	10-Husb.work.class=PrivateWorker	20,03995	74,87562
03-Vechicl.=2, YES	11-Wife.work.class=PrivateWorker	18,97470	70,89552
03-Vechicl.=2, 01-H. not owned	10-Husb.work.class=PrivateWorker	21,03862	78,21782
03-Vechicl.=2, 01-H. not owned	11-Wife.work.class=PrivateWorker	20,57257	76,48515
03-Vechicl.=2, 01-H. not owned	NO	19,17443	71,28713
03-Vechicl.=2, 06-Husb.:associate	10-Husb.work.class=PrivateWorker	21,43808	78,53659
03-Vechicl.=2, 06-Husb.:associate	11-Wife.work.class=PrivateWorker	20,70573	75,85366
